Âge,Poids (kg),Grandeur (cm),Genre
21,65.6,174,Homme
23,71.8,175.3,Homme
28,80.7,193.5,Homme
23,72.6,186.5,Homme
22,78.8,187.2,Homme
21,74.8,181.5,Homme
26,86.4,184,Homme
27,78.4,184.5,Homme
23,62,175,Homme
21,81.6,184,Homme
23,76.6,180,Homme
22,83.6,177.8,Homme
20,90,192,Homme
26,74.6,176,Homme
23,71,174,Homme
22,79.6,184,Homme
30,93.8,192.7,Homme
22,70,171.5,Homme
29,72.4,173,Homme
22,85.9,176,Homme
22,78.8,176,Homme
20,77.8,180.5,Homme
22,66.2,172.7,Homme
24,86.4,176,Homme
26,81.8,173.5,Homme
24,89.6,178,Homme
21,82.8,180.3,Homme
24,76.4,180.3,Homme
23,63.2,164.5,Homme
19,60.9,173,Homme
23,74.8,183.5,Homme
25,70,175.5,Homme
23,72.4,188,Homme
23,84.1,189.2,Homme
23,69.1,172.8,Homme
20,59.5,170,Homme
22,67.2,182,Homme
24,61.3,170,Homme
22,68.6,177.8,Homme
24,80.1,184.2,Homme
21,87.8,186.7,Homme
23,84.7,171.4,Homme
24,73.4,172.7,Homme
35,72.1,175.3,Homme
29,82.6,180.3,Homme
25,88.7,182.9,Homme
23,84.1,188,Homme
20,94.1,177.2,Homme
25,74.9,172.1,Homme
29,59.1,167,Homme
23,75.6,169.5,Homme
23,86.2,174,Homme
36,75.3,172.7,Homme
25,87.1,182.2,Homme
24,55.2,164.1,Homme
20,57,163,Homme
52,61.4,171.5,Homme
50,76.8,184.2,Homme
46,86.8,174,Homme
51,72.2,174,Homme
28,71.6,177,Homme
48,84.8,186,Homme
35,68.2,167,Homme
23,66.1,171.8,Homme
23,72,182,Homme
62,64.6,167,Homme
21,74.8,177.8,Homme
26,70,164.5,Homme
33,101.6,192,Homme
36,63.2,175.5,Homme
41,79.1,171.2,Homme
40,78.9,181.6,Homme
27,67.7,167.4,Homme
27,66,181.1,Homme
23,68.2,177,Homme
31,63.9,174.5,Homme
26,72,177.5,Homme
23,56.8,170.5,Homme
24,74.5,182.4,Homme
24,90.9,197.1,Homme
34,93,180.1,Homme
21,80.9,175.5,Homme
25,72.7,180.6,Homme
34,68,184.4,Homme
31,70.9,175.5,Homme
40,72.5,180.6,Homme
21,72.5,177,Homme
33,83.4,177.1,Homme
25,75.5,181.6,Homme
29,73,176.5,Homme
27,70.2,175,Homme
44,73.4,174,Homme
26,70.5,165.1,Homme
22,68.9,177,Homme
37,102.3,192,Homme
38,68.4,176.5,Homme
20,65.9,169.4,Homme
21,75.7,182.1,Homme
24,84.5,179.8,Homme
45,87.7,175.3,Homme
25,86.4,184.9,Homme
22,73.2,177.3,Homme
29,53.9,167.4,Homme
37,72,178.1,Homme
20,55.5,168.9,Homme
20,58.4,157.2,Homme
32,83.2,180.3,Homme
23,72.7,170.2,Homme
25,64.1,177.8,Homme
27,72.3,172.7,Homme
21,65,165.1,Homme
27,86.4,186.7,Homme
25,65,165.1,Homme
38,88.6,174,Homme
44,84.1,175.3,Homme
27,66.8,185.4,Homme
37,75.5,177.8,Homme
28,93.2,180.3,Homme
33,82.7,180.3,Homme
25,58,177.8,Homme
21,79.5,177.8,Homme
30,78.6,177.8,Homme
26,71.8,177.8,Homme
27,116.4,177.8,Homme
33,72.2,163.8,Homme
29,83.6,188,Homme
27,85.5,198.1,Homme
34,90.9,175.3,Homme
42,85.9,166.4,Homme
29,89.1,190.5,Homme
41,75,166.4,Homme
43,77.7,177.8,Homme
43,86.4,179.7,Homme
29,90.9,172.7,Homme
27,73.6,190.5,Homme
62,76.4,185.4,Homme
33,69.1,168.9,Homme
45,84.5,167.6,Homme
30,64.5,175.3,Homme
20,69.1,170.2,Homme
22,108.6,190.5,Homme
51,86.4,177.8,Homme
34,80.9,190.5,Homme
44,87.7,177.8,Homme
46,94.5,184.2,Homme
34,80.2,176.5,Homme
32,72,177.8,Homme
28,71.4,180.3,Homme
31,72.7,171.4,Homme
29,84.1,172.7,Homme
42,76.8,172.7,Homme
29,63.6,177.8,Homme
31,80.9,177.8,Homme
30,80.9,182.9,Homme
27,85.5,170.2,Homme
25,68.6,167.6,Homme
24,67.7,175.3,Homme
33,66.4,165.1,Homme
45,102.3,185.4,Homme
37,70.5,181.6,Homme
44,95.9,172.7,Homme
34,84.1,190.5,Homme
55,87.3,179.1,Homme
43,71.8,175.3,Homme
24,65.9,170.2,Homme
22,95.9,193,Homme
38,91.4,171.4,Homme
24,81.8,177.8,Homme
29,96.8,177.8,Homme
25,69.1,167.6,Homme
37,82.7,167.6,Homme
30,75.5,180.3,Homme
26,79.5,182.9,Homme
35,73.6,176.5,Homme
29,91.8,186.7,Homme
30,84.1,188,Homme
37,85.9,188,Homme
34,81.8,177.8,Homme
28,82.5,174,Homme
27,80.5,177.8,Homme
32,70,171.4,Homme
28,81.8,185.4,Homme
22,84.1,185.4,Homme
44,90.5,188,Homme
25,91.4,188,Homme
49,89.1,182.9,Homme
54,85,176.5,Homme
49,69.1,175.3,Homme
60,73.6,175.3,Homme
42,80.5,188,Homme
52,82.7,188,Homme
23,86.4,175.3,Homme
33,67.7,170.5,Homme
46,92.7,179.1,Homme
43,93.6,177.8,Homme
56,70.9,175.3,Homme
21,75,182.9,Homme
18,93.2,170.8,Homme
21,93.2,188,Homme
45,77.7,180.3,Homme
22,61.4,177.8,Homme
55,94.1,185.4,Homme
42,75,168.9,Homme
29,83.6,185.4,Homme
40,85.5,180.3,Homme
24,73.9,174,Homme
62,66.8,167.6,Homme
26,87.3,182.9,Homme
35,72.3,160,Homme
37,88.6,180.3,Homme
34,75.5,167.6,Homme
25,101.4,186.7,Homme
30,91.1,175.3,Homme
32,67.3,175.3,Homme
27,77.7,175.9,Homme
42,81.8,175.3,Homme
44,75.5,179.1,Homme
46,84.5,181.6,Homme
19,76.6,177.8,Homme
43,85,182.9,Homme
28,102.5,177.8,Homme
39,77.3,184.2,Homme
30,71.8,179.1,Homme
36,87.9,176.5,Homme
48,94.3,188,Homme
48,70.9,174,Homme
53,64.5,167.6,Homme
45,77.3,170.2,Homme
39,72.3,167.6,Homme
43,87.3,188,Homme
65,80,174,Homme
45,82.3,176.5,Homme
37,73.6,180.3,Homme
55,74.1,167.6,Homme
33,85.9,188,Homme
25,73.2,180.3,Homme
35,76.3,167.6,Homme
28,65.9,183,Homme
26,90.9,183,Homme
43,89.1,179.1,Homme
30,62.3,170.2,Homme
26,82.7,177.8,Homme
51,79.1,179.1,Homme
30,98.2,190.5,Homme
24,84.1,177.8,Homme
35,83.2,180.3,Homme
37,83.2,180.3,Homme
22,51.6,161.2,Femme
20,59,167.5,Femme
19,49.2,159.5,Femme
25,63,157,Femme
21,53.6,155.8,Femme
23,59,170,Femme
26,47.6,159.1,Femme
22,69.8,166,Femme
28,66.8,176.2,Femme
40,75.2,160.2,Femme
32,55.2,172.5,Femme
25,54.2,170.9,Femme
25,62.5,172.9,Femme
29,42,153.4,Femme
22,50,160,Femme
25,49.8,147.2,Femme
23,49.2,168.2,Femme
37,73.2,175,Femme
19,47.8,157,Femme
23,68.8,167.6,Femme
25,50.6,159.5,Femme
26,82.5,175,Femme
24,57.2,166.8,Femme
29,87.8,176.5,Femme
22,72.8,170.2,Femme
30,54.5,174,Femme
23,59.8,173,Femme
38,67.3,179.9,Femme
23,67.8,170.5,Femme
19,47,160,Femme
46,46.2,154.4,Femme
20,55,162,Femme
22,83,176.5,Femme
25,54.4,160,Femme
21,45.8,152,Femme
23,53.6,162.1,Femme
31,73.2,170,Femme
29,52.1,160.2,Femme
19,67.9,161.3,Femme
21,56.6,166.4,Femme
23,62.3,168.9,Femme
24,58.5,163.8,Femme
20,54.5,167.6,Femme
19,50.2,160,Femme
20,60.3,161.3,Femme
19,58.3,167.6,Femme
20,56.2,165.1,Femme
19,50.2,160,Femme
22,72.9,170,Femme
39,59.8,157.5,Femme
18,61,167.6,Femme
19,69.1,160.7,Femme
26,55.9,163.2,Femme
20,46.5,152.4,Femme
20,54.3,157.5,Femme
26,54.8,168.3,Femme
21,60.7,180.3,Femme
21,60,165.5,Femme
38,62,165,Femme
23,60.3,164.5,Femme
37,52.7,156,Femme
19,74.3,160,Femme
25,62,163,Femme
20,73.1,165.7,Femme
41,80,161,Femme
26,54.7,162,Femme
21,53.2,166,Femme
47,75.7,174,Femme
19,61.1,172.7,Femme
44,55.7,167.6,Femme
35,48.7,151.1,Femme
32,52.3,164.5,Femme
46,50,163.5,Femme
22,59.3,152,Femme
49,62.5,169,Femme
52,55.7,164,Femme
25,54.8,161.2,Femme
48,45.9,155,Femme
41,70.6,170,Femme
18,67.2,176.2,Femme
30,69.4,170,Femme
20,58.2,162.5,Femme
24,64.8,170.3,Femme
23,71.6,164.1,Femme
30,52.8,169.5,Femme
23,59.8,163.2,Femme
45,49,154.5,Femme
20,50,159.8,Femme
20,69.2,173.2,Femme
23,55.9,170,Femme
21,63.4,161.4,Femme
28,58.2,169,Femme
45,58.6,166.2,Femme
24,45.7,159.4,Femme
25,52.2,162.5,Femme
19,48.6,159,Femme
20,57.8,162.8,Femme
29,55.6,159,Femme
24,66.8,179.8,Femme
24,59.4,162.9,Femme
25,53.6,161,Femme
31,73.2,151.1,Femme
22,53.4,168.2,Femme
20,69,168.9,Femme
32,58.4,173.2,Femme
25,56.2,171.8,Femme
19,70.6,178,Femme
23,59.8,164.3,Femme
22,72,163,Femme
20,65.2,168.5,Femme
27,56.6,166.8,Femme
34,105.2,172.7,Femme
25,51.8,163.5,Femme
26,63.4,169.4,Femme
19,59,167.8,Femme
26,47.6,159.5,Femme
25,63,167.6,Femme
20,55.2,161.2,Femme
21,45,160,Femme
18,54,163.2,Femme
19,50.2,162.2,Femme
27,60.2,161.3,Femme
26,44.8,149.5,Femme
36,58.8,157.5,Femme
20,56.4,163.2,Femme
28,62,172.7,Femme
32,49.2,155,Femme
32,67.2,156.5,Femme
23,53.8,164,Femme
20,54.4,160.9,Femme
20,58,162.8,Femme
20,59.8,167,Femme
23,54.8,160,Femme
20,43.2,160,Femme
28,60.5,168.9,Femme
23,46.4,158.2,Femme
19,64.4,156,Femme
28,48.8,160,Femme
19,62.2,167.1,Femme
29,55.5,158,Femme
32,57.8,167.6,Femme
20,54.6,156,Femme
28,59.2,162.1,Femme
36,52.7,173.4,Femme
22,53.2,159.8,Femme
20,64.5,170.5,Femme
22,51.8,159.2,Femme
32,56,157.5,Femme
40,63.6,161.3,Femme
40,63.2,162.6,Femme
42,59.5,160,Femme
40,56.8,168.9,Femme
44,64.1,165.1,Femme
30,50,162.6,Femme
28,72.3,165.1,Femme
37,55,166.4,Femme
40,55.9,160,Femme
45,60.4,152.4,Femme
35,69.1,170.2,Femme
41,84.5,162.6,Femme
27,55.9,170.2,Femme
20,55.5,158.8,Femme
24,69.5,172.7,Femme
36,76.4,167.6,Femme
27,61.4,162.6,Femme
32,65.9,167.6,Femme
64,58.6,156.2,Femme
21,66.8,175.2,Femme
32,56.6,172.1,Femme
35,58.6,162.6,Femme
41,55.9,160,Femme
40,59.1,165.1,Femme
29,81.8,182.9,Femme
40,70.7,166.4,Femme
24,56.8,165.1,Femme
23,60,177.8,Femme
41,58.2,165.1,Femme
44,72.7,175.3,Femme
53,54.1,154.9,Femme
19,49.1,158.8,Femme
24,75.9,172.7,Femme
25,55,168.9,Femme
20,57.3,161.3,Femme
34,55,167.6,Femme
32,65.5,165.1,Femme
24,65.5,175.3,Femme
29,48.6,157.5,Femme
31,58.6,163.8,Femme
34,63.6,167.6,Femme
36,55.2,165.1,Femme
32,62.7,165.1,Femme
39,56.6,168.9,Femme
37,53.9,162.6,Femme
52,63.2,164.5,Femme
24,73.6,176.5,Femme
33,62,168.9,Femme
42,63.6,175.3,Femme
34,53.2,159.4,Femme
37,53.4,160,Femme
39,55,170.2,Femme
41,70.5,162.6,Femme
36,54.5,167.6,Femme
19,54.5,162.6,Femme
22,55.9,160.7,Femme
23,59,160,Femme
36,63.6,157.5,Femme
45,54.5,162.6,Femme
25,47.3,152.4,Femme
67,67.7,170.2,Femme
26,80.9,165.1,Femme
21,70.5,172.7,Femme
33,60.9,165.1,Femme
25,63.6,170.2,Femme
24,54.5,170.2,Femme
21,59.1,170.2,Femme
35,70.5,161.3,Femme
27,52.7,167.6,Femme
27,62.7,167.6,Femme
26,86.3,165.1,Femme
25,66.4,162.6,Femme
44,67.3,152.4,Femme
29,63,168.9,Femme
26,73.6,170.2,Femme
23,62.3,175.2,Femme
32,57.7,175.2,Femme
32,55.4,160,Femme
43,104.1,165.1,Femme
32,55.5,174,Femme
41,77.3,170.2,Femme
33,80.5,160,Femme
28,64.5,167.6,Femme
28,72.3,167.6,Femme
25,61.4,167.6,Femme
38,58.2,154.9,Femme
37,81.8,162.6,Femme
25,63.6,175.3,Femme
37,53.4,171.4,Femme
27,54.5,157.5,Femme
27,53.6,165.1,Femme
20,60,160,Femme
19,73.6,174,Femme
32,61.4,162.6,Femme
26,55.5,174,Femme
56,63.6,162.6,Femme
23,60.9,161.3,Femme
19,60,156.2,Femme
31,46.8,149.9,Femme
34,57.3,169.5,Femme
34,64.1,160,Femme
24,63.6,175.3,Femme
22,67.3,169.5,Femme
34,75.5,160,Femme
30,68.2,172.7,Femme
32,61.4,162.6,Femme
40,76.8,157.5,Femme
29,71.8,176.5,Femme
21,55.5,164.4,Femme
33,48.6,160.7,Femme
33,66.4,174,Femme
38,67.3,163.8,Femme
