Position,Parties,Buts,Aides,Points,+/-,Minutes de punition,Tirs au but,Buts vainqueurs,Buts AN,Aides AN,Mises en échec,Tirs blockés
D,59,6,25,31,9,14,95,2,3,7,55,107
C,81,6,19,25,-4,24,105,0,0,1,28,44
D,64,6,47,53,-2,33,151,2,2,28,53,60
D,76,6,22,28,-5,44,125,0,1,5,81,133
AG,82,6,20,26,18,42,78,1,0,0,203,38
AG,63,6,18,24,-3,34,79,0,0,5,143,14
AG,58,5,14,19,7,30,99,2,0,0,64,20
D,61,5,23,28,-11,16,167,2,1,10,44,102
D,52,5,8,13,12,40,84,1,0,0,119,91
D,42,5,7,12,-2,8,75,1,4,4,18,28
C,53,5,15,20,6,6,35,1,0,2,13,21
C,53,5,8,13,-2,10,81,0,0,0,32,20
D,82,5,15,20,-3,63,86,1,0,0,258,158
D,78,5,38,43,-41,38,182,2,1,16,235,121
D,78,5,16,21,22,24,110,0,0,0,149,116
D,69,5,15,20,-23,43,114,1,1,7,55,102
D,52,5,15,20,2,39,59,3,0,0,79,94
D,70,5,12,17,11,33,94,0,0,1,109,59
AD,64,5,6,11,-13,0,36,0,0,0,38,33
C,72,5,13,18,-11,17,78,0,0,0,144,29
D,59,5,18,23,-14,20,88,2,1,5,32,91
D,78,5,15,20,6,62,111,1,0,0,171,139
AD,59,5,10,15,-2,15,116,0,0,1,89,58
AD,51,5,6,11,-8,19,58,1,0,0,88,21
D,81,5,17,22,15,39,93,1,0,0,124,128
C,69,5,8,13,-20,26,71,0,0,0,87,30
C,60,5,3,8,-19,44,86,1,1,2,93,56
AG,56,5,5,10,-7,23,44,1,0,0,85,15
D,78,5,23,28,-6,41,165,1,2,8,124,180
D,62,5,9,14,22,57,99,2,1,2,81,88
D,81,5,18,23,30,21,81,0,0,0,91,144
D,43,5,21,26,-1,28,92,0,0,3,60,56
C,78,5,8,13,-1,17,71,0,0,0,87,44
AD,57,5,8,13,-7,18,77,0,1,1,50,19
D,82,5,20,25,-9,16,104,0,0,2,67,208
C,68,5,13,18,-6,8,102,0,0,0,126,17
D,48,5,13,18,7,4,81,2,1,3,24,30
D,80,5,28,33,18,12,116,2,1,4,87,83
D,53,5,15,20,-12,28,117,0,3,5,74,77
D,46,5,18,23,-10,30,73,0,1,4,66,32
AG,15,5,1,6,-4,6,26,1,0,1,38,3
D,80,5,16,21,3,6,99,1,0,0,80,61
AG,36,5,9,14,-7,10,48,1,3,1,18,24
C,56,5,7,12,-8,18,55,1,0,2,48,15
AG,51,5,8,13,-14,31,49,0,0,1,48,15
D,58,5,11,16,25,58,107,1,1,0,198,79
C,32,4,9,13,8,2,25,0,2,4,4,12
D,30,4,8,12,3,6,36,1,0,3,11,31
AD,46,4,5,9,-14,16,53,0,0,1,46,26
AD,34,4,3,7,-7,6,49,1,0,0,42,11
D,82,4,23,27,8,6,116,0,0,9,65,90
AD,63,4,15,19,-6,14,72,0,0,0,39,30
D,64,4,13,17,-5,22,98,0,0,0,100,57
AD,44,4,3,7,-5,2,52,1,0,0,63,8
C,23,4,2,6,0,8,29,1,0,0,21,12
D,64,4,11,15,-3,64,79,2,0,1,127,103
D,61,4,26,30,6,77,111,0,0,10,54,82
D,42,4,27,31,4,69,115,1,1,15,77,51
D,74,4,19,23,4,34,113,0,0,0,96,62
D,62,4,12,16,6,12,75,0,0,0,151,108
D,63,4,9,13,-7,71,66,0,0,0,100,48
AG,19,4,3,7,-5,6,23,1,1,0,34,3
C,26,4,2,6,-12,6,43,0,1,0,33,13
AG,52,4,5,9,5,18,57,0,0,0,105,30
D,82,4,22,26,0,18,116,0,0,10,77,89
D,61,4,9,13,0,26,97,1,2,1,77,76
D,60,4,14,18,-2,8,78,2,0,2,78,135
C,74,4,8,12,-2,30,74,2,0,0,51,34
D,77,4,16,20,6,63,136,0,0,0,255,133
AD,54,4,4,8,-6,15,60,0,0,0,78,36
C,43,4,6,10,-4,8,34,1,0,0,33,18
D,59,4,10,14,-4,35,64,0,0,0,103,99
AG,20,4,2,6,3,6,30,1,1,0,5,7
D,78,4,26,30,-17,18,108,1,1,13,38,74
AG,34,4,4,8,0,20,36,0,0,0,45,10
D,79,4,15,19,18,68,104,0,0,0,118,159
AD,53,4,2,6,-7,57,57,2,1,0,126,13
AD,50,4,7,11,-2,4,84,1,0,1,57,7
AG,64,4,19,23,2,8,86,1,0,0,50,26
C,39,4,8,12,-12,14,83,0,0,0,63,38
C,47,4,2,6,-5,10,43,0,0,0,69,20
D,77,4,18,22,-1,32,109,0,0,3,121,130
D,57,4,8,12,5,45,55,0,0,0,135,59
D,82,4,14,18,-15,30,111,2,0,1,61,135
D,50,4,13,17,-17,22,107,0,3,2,68,77
AD,36,4,5,9,1,10,30,0,0,0,48,41
D,81,4,12,16,11,52,84,1,0,0,200,139
D,54,4,7,11,2,14,86,0,0,2,19,58
C,56,4,10,14,-6,14,74,1,0,0,92,29
D,82,3,26,29,3,33,101,0,0,1,137,103
C,21,3,2,5,-4,2,19,0,0,0,19,9
D,82,3,17,20,-28,44,117,0,0,0,256,128
C,41,3,5,8,-19,28,64,0,0,0,95,21
D,48,3,9,12,6,39,60,0,0,1,60,42
C,39,3,7,10,-14,4,35,0,0,0,33,21
C,13,3,2,5,0,6,11,0,1,0,14,2
C,47,3,4,7,-2,8,34,0,0,0,23,19
D,62,3,9,12,-1,30,58,1,1,0,76,71
D,76,3,20,23,31,20,99,0,0,0,141,129
AD,56,3,5,8,0,29,56,0,0,0,99,16
D,74,3,13,16,-8,62,96,0,0,0,184,90
D,57,3,8,11,0,16,101,1,1,0,48,53
AD,37,3,4,7,5,8,51,0,0,0,72,20
C,49,3,6,9,-4,8,55,0,0,2,40,12
D,26,3,2,5,4,2,26,0,0,0,32,51
C,54,3,2,5,-12,27,42,0,0,0,97,23
C,47,3,7,10,-2,9,44,0,0,0,66,18
C,70,3,11,14,3,12,46,0,0,0,98,28
C,60,3,6,9,-13,16,55,0,0,0,72,29
C,60,3,15,18,-12,43,64,0,0,0,123,33
AG,29,3,2,5,0,10,33,1,0,0,49,4
D,65,3,26,29,0,44,131,0,1,12,122,64
D,66,3,15,18,9,68,90,0,1,5,46,60
AG,32,3,2,5,-9,16,50,0,0,1,73,9
C,52,3,6,9,-12,2,67,1,0,1,39,7
D,57,3,12,15,16,53,72,0,0,0,71,72
D,35,3,3,6,-6,22,40,0,1,1,44,32
D,65,3,16,19,-5,52,93,0,0,1,83,116
D,53,3,42,45,6,22,169,1,2,18,44,69
D,62,3,27,30,19,26,78,0,0,5,61,64
D,25,3,4,7,8,6,21,1,0,0,11,35
C,78,3,9,12,-8,19,79,1,0,0,72,43
D,76,3,24,27,-7,16,102,0,1,6,79,154
D,61,3,12,15,5,14,77,0,0,0,104,76
C,57,3,10,13,-8,18,45,0,0,0,102,33
D,72,3,13,16,5,27,63,0,0,0,93,185
D,52,3,2,5,-10,35,48,1,0,0,98,56
C,44,3,9,12,-9,9,87,1,0,0,53,25
D,78,3,14,17,-3,40,82,1,0,0,61,127
D,79,3,24,27,-5,40,71,0,1,7,84,96
D,74,3,16,19,10,25,157,1,1,2,144,120
AG,26,3,8,11,3,16,34,0,0,0,37,8
D,72,3,22,25,-6,10,100,0,0,1,23,114
D,50,3,4,7,2,42,28,1,0,0,122,88
D,79,3,10,13,-9,32,84,0,0,0,94,119
D,78,3,11,14,-4,10,102,1,0,0,42,84
AG,28,3,4,7,3,2,34,2,0,0,10,8
C,53,3,5,8,-5,16,58,1,0,0,73,18
C,55,3,1,4,1,2,43,1,0,0,25,18
C,60,3,6,9,-5,6,49,1,0,0,70,39
D,43,3,6,9,-9,30,57,0,0,0,38,38
C,24,3,3,6,-6,2,29,1,0,0,21,7
C,1,3,0,3,3,0,3,0,0,0,1,0
AD,7,3,0,3,0,10,13,0,0,0,24,1
C,36,3,7,10,9,4,29,1,0,0,28,12
AG,31,3,7,10,0,8,53,0,0,0,65,9
D,53,3,4,7,0,14,43,0,0,0,57,48
D,81,3,11,14,2,18,71,0,0,0,139,151
D,38,3,5,8,3,10,21,1,0,0,11,41
C,28,3,6,9,1,2,21,0,0,1,14,9
AD,20,3,6,9,-2,6,18,2,2,1,17,21
D,39,3,7,10,-8,8,55,0,1,0,43,40
C,40,3,3,6,-7,26,44,0,0,0,66,20
C,11,3,2,5,5,2,15,1,0,0,6,4
C,27,3,5,8,1,4,42,0,0,0,10,11
AD,12,2,2,4,-5,0,15,0,1,0,0,5
D,37,2,3,5,3,10,43,1,2,0,86,38
C,18,2,0,2,-4,6,24,0,1,0,22,4
D,79,2,17,19,17,23,115,0,0,2,52,83
D,25,2,5,7,-6,6,24,0,0,0,12,22
D,25,2,4,6,-1,8,34,1,0,0,38,47
D,78,2,21,23,9,32,105,0,0,2,91,96
AG,30,2,3,5,-1,14,58,1,0,1,30,5
AD,12,2,2,4,-4,4,16,0,1,0,1,1
AG,25,2,6,8,1,2,26,0,0,0,15,7
D,61,2,2,4,3,17,70,0,0,0,91,74
AG,10,2,5,7,3,7,9,1,0,0,27,3
AG,11,2,0,2,0,0,18,1,0,0,4,1
D,37,2,6,8,4,16,42,0,0,0,24,30
AG,42,2,4,6,-13,29,41,0,0,0,60,8
D,19,2,3,5,2,10,25,0,0,2,11,19
AG,6,2,2,4,1,2,21,0,2,0,2,3
AG,32,2,2,4,-1,6,27,0,0,0,93,12
D,72,2,8,10,22,47,116,0,0,0,134,88
AD,21,2,3,5,2,2,19,0,0,0,39,17
AD,13,2,1,3,0,2,17,0,0,0,23,7
AG,32,2,4,6,-4,6,43,1,0,0,30,8
D,84,2,23,25,17,66,87,0,1,4,101,108
C,23,2,3,5,-2,10,22,0,1,0,20,4
AG,20,2,5,7,-2,2,25,1,1,0,16,7
D,74,2,10,12,-3,18,105,1,0,0,165,152
D,44,2,6,8,-3,12,47,1,0,0,14,53
D,53,2,7,9,8,32,43,0,0,0,131,78
C,23,2,2,4,-5,6,25,0,0,0,25,16
D,73,2,26,28,-15,20,148,0,1,6,73,104
D,71,2,13,15,-1,115,82,0,0,0,107,178
D,47,2,15,17,12,8,57,0,0,1,59,71
D,59,2,8,10,9,47,75,0,0,0,95,72
D,71,2,7,9,-1,37,95,0,0,0,76,118
AG,43,2,4,6,-2,75,34,0,0,0,76,16
D,62,2,6,8,7,18,67,0,0,0,64,32
D,35,2,6,8,9,12,39,2,0,1,50,43
AG,55,2,6,8,3,10,34,1,0,0,100,48
D,78,2,14,16,-14,35,105,0,0,1,121,120
D,76,2,8,10,-20,87,94,1,0,0,184,84
D,55,2,10,12,3,18,51,0,0,0,29,122
D,41,2,14,16,0,22,91,0,0,1,101,43
D,81,2,12,14,-13,52,75,1,0,0,105,139
C,17,2,1,3,-4,0,14,0,0,0,13,3
D,34,2,9,11,-13,19,42,1,0,1,25,37
D,33,2,3,5,0,12,33,1,0,0,51,25
D,31,2,4,6,4,14,36,0,0,0,54,48
D,29,2,13,15,0,4,47,0,1,5,25,41
C,75,2,23,25,-1,12,64,0,1,5,34,32
D,80,2,18,20,4,21,94,0,0,0,82,105
C,15,2,5,7,1,10,26,0,0,1,11,6
D,50,2,8,10,-1,46,48,1,0,0,72,63
AD,28,2,3,5,-5,2,29,0,0,2,26,6
AD,22,2,2,4,0,59,7,1,0,0,78,8
AD,37,2,6,8,-5,6,48,0,0,0,87,14
D,64,2,9,11,8,68,102,1,0,0,128,106
D,37,2,4,6,3,9,44,0,0,0,76,33
D,25,2,5,7,-12,18,27,1,0,1,35,26
D,39,2,2,4,-15,25,33,0,0,0,63,40
D,71,2,5,7,-4,64,67,1,0,0,78,116
D,73,2,15,17,6,23,54,0,0,0,73,81
AG,50,2,6,8,2,18,54,0,0,0,114,16
AG,48,2,3,5,-12,22,48,0,0,0,135,22
D,37,2,11,13,9,10,41,0,1,2,16,31
D,53,1,4,5,-12,89,59,0,0,0,212,93
AD,12,1,0,1,-2,2,13,0,0,0,11,8
D,20,1,1,2,1,8,14,0,0,0,36,20
AD,12,1,1,2,-3,12,10,0,0,0,10,4
D,82,1,21,22,19,61,71,0,0,0,202,78
D,41,1,6,7,0,20,40,0,0,0,37,37
AG,8,1,0,1,-2,2,10,0,1,0,4,5
AD,17,1,3,4,-2,2,22,0,0,2,6,5
D,80,1,6,7,-11,41,100,0,0,0,144,118
D,56,1,28,29,20,10,71,0,0,1,27,93
AG,14,1,0,1,-6,4,12,0,0,0,21,6
D,26,1,3,4,-5,8,32,0,0,0,47,18
AG,20,1,1,2,-10,4,30,0,0,0,28,4
D,51,1,4,5,-13,56,50,0,0,0,89,69
D,39,1,3,4,-6,16,41,0,0,0,80,43
C,18,1,2,3,-5,2,15,1,0,0,2,4
D,18,1,1,2,-9,4,22,1,0,0,40,16
C,23,1,3,4,-5,0,15,0,0,0,9,13
D,53,1,10,11,-3,17,39,0,0,0,75,61
D,19,1,1,2,-2,8,15,0,0,0,41,13
C,3,1,2,3,3,0,2,1,0,0,4,0
D,60,1,13,14,9,12,74,1,1,3,97,116
AD,30,1,5,6,-9,4,28,0,1,0,35,4
AG,24,1,3,4,-3,8,31,0,0,0,54,9
D,45,1,9,10,9,4,33,0,0,0,18,28
D,28,1,3,4,-1,12,31,0,0,0,32,29
AG,2,1,0,1,0,0,1,0,0,0,0,1
D,70,1,10,11,-1,26,64,0,0,0,133,89
D,74,1,9,10,5,53,57,0,0,0,137,131
D,24,1,4,5,-4,12,34,0,0,0,21,21
C,14,1,3,4,3,9,18,0,0,0,35,6
AG,11,1,1,2,2,0,11,0,0,0,14,3
D,22,1,3,4,5,8,15,0,0,0,61,38
D,12,1,0,1,-6,4,11,0,0,0,13,14
D,50,1,7,8,-2,22,75,0,0,0,108,75
D,2,1,0,1,2,0,2,0,0,0,1,1
D,44,1,6,7,5,38,50,0,0,0,80,37
D,42,1,9,10,-2,8,45,0,0,0,129,53
AG,4,1,0,1,1,5,3,0,0,0,7,1
C,23,1,2,3,1,20,11,1,0,0,47,8
AD,6,1,0,1,-2,2,10,0,0,0,3,1
D,17,1,0,1,1,8,16,0,1,0,13,23
C,27,1,2,3,-7,33,17,0,0,0,29,7
D,74,1,13,14,1,20,102,1,0,0,187,106
D,13,1,1,2,3,0,10,0,0,0,17,17
AG,38,1,0,1,-13,67,22,0,0,0,112,10
D,77,1,8,9,6,69,77,0,0,0,191,152
C,3,1,0,1,0,0,8,0,0,0,1,1
D,67,1,5,6,-21,53,80,0,0,0,128,79
C,7,1,1,2,-4,4,14,0,1,0,14,4
D,82,1,12,13,-4,41,86,0,1,1,233,147
AD,10,1,1,2,2,6,10,0,0,0,0,3
C,19,1,0,1,-1,4,16,1,0,0,21,7
AD,8,1,0,1,-4,2,12,0,0,0,9,1
AG,8,1,0,1,0,0,5,0,0,0,5,0
D,37,1,1,2,-3,28,28,0,0,0,80,31
D,2,1,1,2,3,7,3,0,0,0,4,1
AG,17,1,3,4,3,23,12,0,0,0,43,1
AG,6,1,0,1,-1,0,11,0,0,0,9,3
AG,15,1,1,2,-2,14,9,0,0,0,20,5
D,21,1,4,5,5,6,22,0,0,0,60,39
AD,2,1,0,1,0,0,4,0,0,0,1,0
D,2,1,0,1,1,0,1,0,0,0,1,1
AG,24,1,3,4,-5,14,21,0,0,0,83,9
AD,21,1,3,4,-3,0,23,0,0,1,23,9
C,20,1,2,3,-3,6,16,0,0,0,39,5
AG,5,1,0,1,0,2,5,0,0,0,6,1
AG,20,1,2,3,-1,2,18,0,0,0,9,12
C,13,1,0,1,-5,2,19,0,0,0,14,3
C,27,1,2,3,-7,14,40,0,1,1,41,11
D,4,1,0,1,-3,0,5,0,0,0,1,2
D,41,1,8,9,7,8,41,1,0,0,67,34
C,2,1,0,1,3,0,6,0,0,0,2,1
AG,9,1,0,1,-2,6,16,0,0,0,11,7
AG,4,1,1,2,2,0,2,0,0,1,4,2
C,7,1,1,2,0,2,6,0,0,0,3,2
AG,17,1,1,2,-6,2,13,0,0,1,18,11
D,24,1,2,3,-2,12,28,1,0,0,21,43
D,17,1,4,5,0,4,20,0,0,3,6,18
C,25,1,4,5,2,4,22,0,0,0,11,3
D,4,1,0,1,-1,0,5,0,0,0,3,6
AD,16,1,2,3,-1,4,16,0,0,0,2,3
D,5,1,0,1,1,6,10,0,0,0,5,3
D,38,1,5,6,1,13,37,0,0,0,44,36
C,8,1,0,1,-1,4,11,1,0,0,5,3
D,30,1,3,4,0,2,19,0,0,0,10,30
D,21,1,1,2,-5,2,25,0,0,0,42,8
D,16,1,0,1,-1,2,11,1,0,0,15,15
C,5,1,0,1,-2,4,9,0,0,0,1,4
D,17,1,5,6,-9,6,21,0,0,1,20,18
C,15,1,1,2,0,2,10,0,0,0,4,4
D,61,1,9,10,-14,27,65,0,0,2,110,82
D,33,1,5,6,-8,20,37,0,0,0,20,33
C,65,1,12,13,5,18,65,0,0,0,58,55
AG,9,1,2,3,-5,0,18,0,1,1,6,3
D,7,1,0,1,-5,2,10,0,1,0,6,8
AG,10,1,6,7,0,2,15,1,0,1,1,9
D,1,0,0,0,1,0,1,0,0,0,2,1
C,2,0,0,0,0,0,7,0,0,0,3,2
D,2,0,0,0,-1,0,3,0,0,0,0,2
AG,1,0,0,0,-1,0,1,0,0,0,0,1
D,1,0,1,1,-1,0,1,0,0,0,0,1
AG,15,0,2,2,-1,2,13,0,0,0,4,5
C,5,0,0,0,-2,0,1,0,0,0,4,1
D,5,0,3,3,0,2,6,0,0,2,1,1
AG,10,0,0,0,-4,0,8,0,0,0,4,5
D,1,0,0,0,-1,2,0,0,0,0,4,1
C,2,0,0,0,-2,0,0,0,0,0,1,1
C,6,0,2,2,2,0,3,0,0,0,11,3
AG,13,0,0,0,-4,0,18,0,0,0,24,1
D,4,0,1,1,-2,0,2,0,0,0,5,4
AG,7,0,0,0,-1,0,3,0,0,0,0,1
C,6,0,0,0,-1,0,6,0,0,0,0,0
D,2,0,0,0,-2,0,1,0,0,0,2,2
D,8,0,0,0,-4,0,5,0,0,0,3,7
C,1,0,0,0,-1,0,0,0,0,0,0,1
D,8,0,1,1,-2,4,15,0,0,0,9,7
D,26,0,4,4,6,10,12,0,0,0,31,44
C,4,0,0,0,0,4,3,0,0,0,3,1
D,1,0,0,0,0,2,0,0,0,0,6,1
D,4,0,0,0,-5,0,2,0,0,0,12,3
C,6,0,0,0,0,2,1,0,0,0,7,1
D,3,0,0,0,-2,2,1,0,0,0,2,2
AG,4,0,0,0,0,17,1,0,0,0,12,0
D,1,0,0,0,1,0,0,0,0,0,0,0
C,2,0,0,0,0,0,2,0,0,0,10,1
D,32,0,8,8,-3,12,14,0,0,0,49,21
AG,7,0,0,0,-2,5,8,0,0,0,10,1
AD,11,0,0,0,-6,0,11,0,0,0,16,3
D,41,0,4,4,-9,13,27,0,0,0,150,61
AD,6,0,0,0,0,2,6,0,0,0,9,2
AG,8,0,1,1,-3,2,6,0,0,0,18,6
C,1,0,0,0,-3,0,2,0,0,0,0,0
C,2,0,0,0,-2,0,2,0,0,0,0,1
C,21,0,3,3,-8,13,21,0,0,0,41,4
D,2,0,0,0,0,2,1,0,0,0,1,0
AG,7,0,0,0,-2,4,6,0,0,0,0,3
C,15,0,0,0,-4,15,19,0,0,0,18,3
D,5,0,0,0,-6,8,8,0,0,0,11,9
C,1,0,0,0,0,2,0,0,0,0,0,0
C,1,0,0,0,-2,0,1,0,0,0,0,1
C,8,0,0,0,1,2,6,0,0,0,13,1
AD,1,0,0,0,-3,0,0,0,0,0,0,1
D,71,0,13,13,17,6,65,0,0,0,21,95
D,1,0,0,0,0,2,1,0,0,0,5,0
AG,4,0,0,0,0,0,2,0,0,0,15,3
D,1,0,0,0,-3,2,1,0,0,0,0,1
D,2,0,0,0,-1,0,2,0,0,0,0,0
AG,5,0,1,1,0,0,1,0,0,0,1,1
D,2,0,0,0,0,0,0,0,0,0,1,1
C,5,0,1,1,-2,0,6,0,0,0,5,2
D,38,0,12,12,-7,16,62,0,0,1,48,37
D,6,0,0,0,-4,6,7,0,0,0,18,5
C,15,0,3,3,2,2,7,0,0,0,14,5
C,1,0,0,0,0,0,2,0,0,0,2,0
C,4,0,1,1,-4,5,2,0,0,0,4,1
D,4,0,1,1,-1,0,2,0,0,0,2,1
D,2,0,0,0,-1,0,0,0,0,0,1,1
C,1,0,0,0,1,0,4,0,0,0,1,0
D,1,0,0,0,0,0,1,0,0,0,0,1
D,2,0,0,0,0,0,0,0,0,0,1,4
D,1,0,0,0,-1,0,1,0,0,0,1,0
AG,33,0,8,8,2,0,52,0,0,0,3,10
D,11,0,0,0,-9,0,16,0,0,0,17,27
D,3,0,1,1,-1,2,0,0,0,0,1,2
AD,6,0,0,0,0,0,2,0,0,0,8,3
C,9,0,2,2,3,8,16,0,0,0,12,1
D,17,0,1,1,-2,2,21,0,0,0,25,17
AG,5,0,0,0,-1,0,1,0,0,0,5,2
D,2,0,0,0,0,0,1,0,0,0,3,0
D,25,0,5,5,6,6,16,0,0,0,16,21
D,49,0,5,5,-4,16,57,0,0,0,41,59
D,1,0,0,0,-1,2,1,0,0,0,0,0
D,45,0,6,6,6,27,47,0,0,0,125,78
C,3,0,1,1,1,2,2,0,0,0,5,0
AG,1,0,0,0,0,0,0,0,0,0,6,1
D,5,0,0,0,-3,4,9,0,0,0,3,13
D,5,0,0,0,0,2,5,0,0,0,7,5
D,16,0,0,0,0,2,9,0,0,0,16,16
D,20,0,1,1,4,2,17,0,0,0,25,21
D,29,0,4,4,-2,10,38,0,0,0,16,31
D,3,0,0,0,-2,10,2,0,0,0,5,2
D,1,0,0,0,-1,0,1,0,0,0,2,1
C,4,0,0,0,-3,0,2,0,0,0,3,3
AD,40,0,6,6,-7,6,39,0,0,0,45,21
C,9,0,0,0,1,0,2,0,0,0,14,0
C,2,0,0,0,-1,0,3,0,0,0,6,0
D,9,0,0,0,-3,6,3,0,0,0,15,10
AD,1,0,0,0,0,0,0,0,0,0,1,0
AD,2,0,0,0,-1,0,0,0,0,0,2,0
AD,7,0,0,0,-4,4,6,0,0,0,14,1
D,57,0,5,5,-2,28,39,0,0,0,38,61
C,1,0,0,0,0,0,0,0,0,0,0,0
D,24,0,4,4,3,6,28,0,0,1,17,21
D,47,0,9,9,-5,18,41,0,0,0,30,95
C,37,0,2,2,-16,2,29,0,0,0,15,46
C,2,0,0,0,-1,0,1,0,0,0,3,0
D,82,0,10,10,8,44,57,0,0,0,45,187
AG,6,0,1,1,-3,0,10,0,0,0,11,4
D,18,0,2,2,-1,4,29,0,0,2,29,45
D,14,0,2,2,-7,4,10,0,0,0,6,9
AG,26,0,3,3,-2,19,23,0,0,0,40,8
D,40,0,4,4,5,33,47,0,0,0,40,71
D,9,0,1,1,1,2,8,0,0,0,13,10
D,57,0,6,6,4,47,40,0,0,0,88,71
C,5,0,0,0,-4,0,4,0,0,0,14,2
D,9,0,1,1,0,4,5,0,0,0,17,7
D,26,0,2,2,-10,16,30,0,0,0,105,39
D,4,0,1,1,-1,2,2,0,0,0,3,4
D,10,0,0,0,-4,11,7,0,0,0,36,9
D,14,0,5,5,0,10,12,0,0,0,27,16
AD,4,0,0,0,-1,7,1,0,0,0,4,0
D,2,0,0,0,3,7,2,0,0,0,4,1
D,5,0,0,0,0,2,3,0,0,0,13,5
D,10,0,0,0,-1,10,11,0,0,0,21,16
D,15,0,0,0,1,2,10,0,0,0,17,13
C,1,0,1,1,1,0,1,0,0,0,0,0
D,4,0,0,0,-1,2,2,0,0,0,16,0
AD,14,0,2,2,2,14,17,0,0,0,22,4
D,2,0,0,0,0,0,2,0,0,0,0,2
D,11,0,1,1,-5,2,6,0,0,0,9,5
C,32,0,5,5,-4,14,31,0,0,0,53,17
D,7,0,0,0,2,4,6,0,0,0,19,7
D,35,0,2,2,-15,26,47,0,0,0,116,53
D,1,0,0,0,-1,5,0,0,0,0,1,1
C,3,0,0,0,-1,0,2,0,0,0,0,2
D,11,0,1,1,-1,11,5,0,0,0,26,4
D,5,0,0,0,0,6,6,0,0,0,3,7
D,20,0,1,1,-4,39,7,0,0,0,54,16
C,9,0,0,0,-1,6,8,0,0,0,10,1
AD,34,0,2,2,-5,23,14,0,0,0,67,27
D,44,0,7,7,-1,15,35,0,0,0,43,39
C,1,0,0,0,0,0,2,0,0,0,0,0
D,20,0,2,2,-7,2,11,0,0,0,10,22
C,8,0,0,0,-1,7,3,0,0,0,16,3
AG,2,0,0,0,-1,0,1,0,0,0,3,1
C,1,0,0,0,-1,0,0,0,0,0,0,1
C,11,0,1,1,-4,2,16,0,0,0,4,4
AG,57,0,10,10,-4,0,65,0,0,0,71,32
AG,5,0,0,0,-3,4,5,0,0,0,9,7
D,5,0,1,1,4,0,5,0,0,0,6,2
D,38,0,6,6,9,6,42,0,0,0,33,35
AD,11,0,1,1,0,2,5,0,0,0,9,5
C,1,0,0,0,-1,0,2,0,0,0,0,1
AG,16,0,1,1,-3,2,9,0,0,0,30,3
AG,2,0,0,0,0,0,3,0,0,0,6,0
D,19,0,1,1,5,15,22,0,0,0,40,13
C,15,0,1,1,-8,8,19,0,0,1,31,9
C,10,0,0,0,-1,0,9,0,0,0,6,3
AD,1,0,0,0,0,0,0,0,0,0,1,0
C,6,0,1,1,0,0,6,0,0,0,11,2
AG,19,0,1,1,-7,6,22,0,0,0,36,8
AD,67,0,11,11,-8,8,92,0,0,2,69,44
D,19,0,3,3,-3,13,32,0,0,0,32,30
D,4,0,0,0,1,0,3,0,0,0,1,3
D,4,0,0,0,-4,0,4,0,0,0,10,2
AD,7,0,0,0,0,0,4,0,0,0,3,3
AG,15,0,3,3,-8,4,25,0,0,0,29,2
D,4,0,1,1,0,0,2,0,0,0,3,5
C,6,0,0,0,-1,2,5,0,0,0,10,3
C,16,0,0,0,0,4,13,0,0,0,35,5
AG,1,0,0,0,0,2,1,0,0,0,0,0
D,39,0,7,7,8,35,32,0,0,0,73,79
D,3,0,1,1,1,0,1,0,0,1,1,3
C,11,0,1,1,-4,0,9,0,0,0,11,7
D,2,0,1,1,0,2,1,0,0,0,0,3
C,6,0,1,1,-1,2,5,0,0,0,15,2
D,10,0,1,1,-4,15,7,0,0,0,17,15
D,36,0,3,3,-7,12,30,0,0,0,80,36
D,36,0,3,3,-2,4,44,0,0,0,31,53
D,3,0,1,1,1,0,3,0,0,0,2,1
D,13,0,1,1,4,4,16,0,0,1,20,18
