coude_dia (cm),poignet_dia (cm),genou_dia (cm),cheville_dia (cm),épaule_tour (cm),pec_tour (cm),taille_tour (cm),abdomen_tour (cm),hanche_tour (cm),bicept_tour (cm),avantbras_tour (cm),genou_tour (cm),cheville_tour (cm),poignet_tour (cm),Âge,Poids (kg),Grandeur (cm),Genre
13.1,10.4,18.8,14.1,106.2,89.5,71.5,74.5,93.5,32.5,26,34.5,23.5,16.5,21,65.6,174,Homme
14,11.8,20.6,15.1,110.5,97,79,86.5,94.8,34.4,28,36.5,24.5,17,23,71.8,175.3,Homme
13.9,10.9,19.7,14.1,115.1,97.5,83.2,82.9,95,33.4,28.8,37,21.9,16.9,28,80.7,193.5,Homme
13.9,11.2,20.9,15,104.5,97,77.8,78.8,94,31,26.2,37,23,16.6,23,72.6,186.5,Homme
15.2,11.6,20.7,14.9,107.5,97.5,80,82.5,98.5,32,28.4,37.7,24.4,18,22,78.8,187.2,Homme
14,11.5,18.8,13.9,119.8,99.9,82.5,80.1,95.3,33,28,36.6,23.5,16.9,21,74.8,181.5,Homme
16.1,12.5,20.8,15.6,123.5,106.9,82,84,101,42.4,32.3,40.1,23.6,18.8,26,86.4,184,Homme
15.1,11.9,21,14.6,120.4,102.5,76.8,80.5,98,34.1,28,39.2,22.5,18,27,78.4,184.5,Homme
14.1,11.2,18.9,13.2,111,91,68.5,69,89.5,33,26,35.5,22,16.5,23,62,175,Homme
15.6,12,21.1,15,119.5,93.5,77.5,81.5,99.8,36.5,29.2,38.3,22.2,16.9,21,81.6,184,Homme
13.4,10.4,19.4,14.5,117.1,97.7,81.9,81,98.4,34.6,27.9,38.9,23.2,16.2,23,76.6,180,Homme
15,11.7,20.9,16,123.5,99.5,82.6,82.5,95,38.5,30.4,39,24.3,18.2,22,83.6,177.8,Homme
16.1,11.3,21.5,15.4,116.5,103,85,94.5,103,33.5,29,40.5,26,18,20,90,192,Homme
13.3,10.3,18.8,13.2,113,99.6,85.6,89.2,98,35.6,29,35.8,21.5,16.6,26,74.6,176,Homme
14.9,10.6,17.8,14,107.5,101.5,78,89.5,95,36,29,34.5,22,16.5,23,71,174,Homme
13.7,11.1,20.7,14,112,104.1,82,84,97,34.5,29.5,39,24,17.5,22,79.6,184,Homme
15.6,11.9,21.2,16,112.2,100,88.3,93.5,105,37,28.8,40.9,24.2,17.8,30,93.8,192.7,Homme
14.8,11.2,19.7,14.7,120,93.8,73.6,74.9,90.1,31.2,26.9,36.4,22,17.1,22,70,171.5,Homme
14.9,12.2,20.8,14.8,109,98.5,78.5,86,94.5,34.5,28.5,38,23,18.5,29,72.4,173,Homme
15.4,10.9,20.7,15.5,118.5,104,87.3,88,101.1,37,30.5,39.8,26.5,18.8,22,85.9,176,Homme
13.1,11.1,19.2,13.9,116,100,92,91,98,32,27.6,37.5,21,17.3,22,78.8,176,Homme
15,11.5,20.4,14.4,111,100,80,83.7,99.5,37,30,37.5,23,18,20,77.8,180.5,Homme
14.6,10.8,18.6,13.8,117.7,99,74.5,75.9,92.2,31.2,26.9,36.2,23.5,16,22,66.2,172.7,Homme
14.3,11.2,19.8,14.1,123.9,101,90.6,89.6,101.2,37,28.3,35.4,22.9,17,24,86.4,176,Homme
15.2,11.6,19.4,14.7,120.6,101.6,81.4,81.6,98.8,39.4,31.9,38.5,22.8,18.2,26,81.8,173.5,Homme
16.4,13.3,22.2,14.9,129.5,108.8,89.5,89.5,106,37.5,30.1,39.9,23.5,19,24,89.6,178,Homme
14.6,10.5,20.2,15.3,115,100,85,94.5,105,35.5,28.5,38,23.5,16.7,21,82.8,180.3,Homme
14.6,11.1,20.8,14.5,116,88,73.5,77.7,97,32.5,27.8,39,23.5,17.8,24,76.4,180.3,Homme
13,10.2,18.9,13.2,107.8,88.7,75.8,83,89,31.2,26.5,37,21.5,16.5,23,63.2,164.5,Homme
13.3,10.1,18.6,13.2,100.2,84.5,74,81,93.5,27.5,24.8,34,21,15.6,19,60.9,173,Homme
14.9,11,19.1,15.8,113,93.6,77.5,82.1,95,32.8,26.2,37.6,21,16.6,23,74.8,183.5,Homme
14.3,11.2,18.2,14,117.9,105,74,72,90,34.1,28.6,36.2,22.4,17.2,25,70,175.5,Homme
15.2,11.4,21.2,15.1,112.5,90.9,74,78.8,96.4,29.8,27,36.4,22.9,17,23,72.4,188,Homme
15.5,11.3,20.9,15,110.5,91.2,82,89.5,100,32.8,28,40.7,24.3,17.2,23,84.1,189.2,Homme
13.6,10.8,18.8,12.9,112,98.4,73,83,95.4,36.4,27.5,37.2,21.8,16.9,23,69.1,172.8,Homme
13.3,10.8,18.6,14,104,85,70.5,84,90,29,26,36,21.5,17,20,59.5,170,Homme
14.5,11.9,18.5,13,114.8,97.2,75,77.2,91.3,31,26.1,36.3,21,17,22,67.2,182,Homme
13.4,10.8,19,14,108,91.5,72.1,79.2,91,29.5,24.5,36.1,22.9,16,24,61.3,170,Homme
13.6,10.8,19,15.4,111.2,91.2,78.8,78,93.2,31.9,27.4,36.4,23,16.8,22,68.6,177.8,Homme
16.2,12,21,16.4,118.3,101.1,77.5,78,97,37.7,29.9,38.3,23.3,18.7,24,80.1,184.2,Homme
14.6,11.3,19.8,15.2,115.2,104.3,91.5,93.2,103.9,36.3,29,36.7,23.1,17.6,21,87.8,186.7,Homme
14.1,11.5,19.7,13.8,129.9,110.8,84.9,83,102.6,42.3,30.9,37,22.6,17.5,23,84.7,171.4,Homme
14.6,10.8,19.5,14.9,112.9,96.3,79.1,78.3,97.1,35.5,28.8,36.9,23.4,16.7,24,73.4,172.7,Homme
14.3,11.2,20,16,112.2,102.7,77.9,77.9,90.7,35.4,28.3,35.6,22.9,17,35,72.1,175.3,Homme
14.8,11.3,20.2,16,117.1,103.9,91.7,89.4,101.8,35.7,29.4,37.7,22.2,17.9,29,82.6,180.3,Homme
15.9,12.8,22.4,16.3,118.7,105.6,86.6,87.3,103.9,37.8,29.7,39,24.3,18.9,25,88.7,182.9,Homme
15.1,10.6,20,15.3,109.2,95.8,84.7,84,101.4,35,28.5,38.4,23.2,16.8,23,84.1,188,Homme
15.6,12,20.7,16.5,128.1,111.2,90.3,93.5,108.7,40.2,32.4,39.2,25.7,17.7,20,94.1,177.2,Homme
14.2,10.2,18,14.4,113.3,100,79.7,87.1,98.4,36.3,28.6,34.5,21.4,16.3,25,74.9,172.1,Homme
14.2,10.6,17.3,13.4,108.4,91.6,73.1,75.4,86.5,30.8,26.1,31.7,20.3,15.8,29,59.1,167,Homme
15,11.5,18.4,14.4,118.7,108,79.8,82.5,94.8,39.8,29.6,34.2,21.1,16.9,23,75.6,169.5,Homme
15.1,11.4,19.8,14.2,126.3,109.6,81.6,86.5,100.9,39.5,31.7,38.8,22.7,17.9,23,86.2,174,Homme
15.4,11.5,20.6,15.4,124.2,105.7,76.8,83.4,98,37.9,30.9,35.9,23.4,17.3,36,75.3,172.7,Homme
14.8,10.6,19.4,15,126.7,109.1,85.9,90.4,100.9,40.1,30,36.8,21.9,16.4,25,87.1,182.2,Homme
12.8,10,17,13,103.3,88.8,73.3,77.9,85.7,30.5,24.8,31.1,19,15,24,55.2,164.1,Homme
13.2,10.4,18.8,13,101.2,86.1,69.9,67.4,84.1,31.5,26.6,32.8,20,15.8,20,57,163,Homme
13.4,10,18.2,14.8,104.3,91.3,72.7,83.2,91.4,27.8,26,34.8,21.1,15.3,52,61.4,171.5,Homme
15.6,12,19.8,16.2,113.2,100.6,82.7,83.5,98,33.1,28,37.9,23.2,17.7,50,76.8,184.2,Homme
15.5,11.6,21.5,15.4,121.9,105.5,90.1,89.2,104.5,36.3,29.6,38.4,25.3,17.5,46,86.8,174,Homme
13.8,11.7,19.7,14.4,113.1,97.5,82.9,83.6,95.8,34.5,27,35.2,21.4,16.5,51,72.2,174,Homme
14.8,11.2,20.7,16.5,108.5,94.4,77.9,79,91.7,31.2,27.5,36.6,21.6,16.1,28,71.6,177,Homme
15.6,12,20.8,16.3,113.9,99.6,92.5,96.2,103.4,34.5,28.4,38.4,22.4,17.2,48,84.8,186,Homme
14.3,11.4,19.5,14.6,112.6,98.1,77.8,77.2,90,33.2,26.4,34.2,21.8,17.5,35,68.2,167,Homme
14.1,10.8,20.2,15.5,110.2,93.6,72.7,77.3,91.7,32.1,27.4,33.5,21.1,16.9,23,66.1,171.8,Homme
14,11,19.4,14.8,108.7,93.4,75,79.2,94,34.2,27.9,36.1,22,17.5,23,72,182,Homme
14.1,11.7,20.4,14.3,104,92,76,83,93,29.5,26,37,22.8,17.4,62,64.6,167,Homme
13.5,11.4,18.9,14.4,115.2,99.2,82.7,84.2,93,32.4,27.6,35.8,21.8,16.7,21,74.8,177.8,Homme
12.4,10.7,18.5,13.2,111.9,97.6,80,85.7,97.4,33.8,28.6,36.2,22,17.2,26,70,164.5,Homme
15.8,12,18.6,13.2,127,108.8,107.1,107.2,108.3,39.6,30.6,40,24.6,17.7,33,101.6,192,Homme
13.1,10.4,19,13.8,111.2,91.9,76.2,78.1,90,30.7,25.8,34.8,21,16.1,36,63.2,175.5,Homme
14.9,10.9,21,14.8,122,105.2,90.2,88.6,100.2,35.7,29.4,39.2,24.5,17.9,41,79.1,171.2,Homme
13.3,10.3,18.9,14.3,114.5,98.3,89.4,87.4,97.7,31,26,36.4,21.6,16.6,40,78.9,181.6,Homme
12.6,10.4,19.2,13.8,109.5,92.5,80.9,78.5,96,31.5,26.3,36.1,21.2,15.6,27,67.7,167.4,Homme
14,11.2,18.9,13.6,110.8,92.5,73.5,76.4,92,30.6,27.1,36,23.8,17.5,27,66,181.1,Homme
14.9,11.5,18.9,14.6,118.8,101.6,70.9,76.7,95.3,36,28.6,36,22,17,23,68.2,177,Homme
13.5,10.4,19.3,14.2,108,94.6,76.1,78,86.3,28.6,23.9,34.5,22.7,15.8,31,63.9,174.5,Homme
12.6,10.6,18.4,14,114.3,92.5,81,85.2,92.5,32.3,26.8,35.8,21.1,15.8,26,72,177.5,Homme
12.9,9.9,18.6,12.3,105.4,88.2,72,72,85.5,28.6,24.8,34.9,20.1,15.4,23,56.8,170.5,Homme
14.3,10.5,19.8,14.2,115,91,76.8,80,94.5,33.2,28,37.5,22.1,16.3,24,74.5,182.4,Homme
15.8,12.5,20.2,15.2,119.5,106,86,92,103,34,29.8,38.8,23.6,18,24,90.9,197.1,Homme
14.1,11.1,18.2,13.9,130,115,98.5,106.6,116.5,35.8,27.2,38,23.3,16,34,93,180.1,Homme
14,11.6,21.6,14.1,113.3,100,79,82.5,98.5,34,28.8,39.6,25.9,18,21,80.9,175.5,Homme
13.4,10.4,18.8,13.6,113.2,94.7,77.5,80.5,92,30.9,26.6,36.5,21.3,16.5,25,72.7,180.6,Homme
13.5,11.6,19.5,14.6,106.9,92.5,75.2,80.2,91.6,29.2,26.1,36.2,22.1,16.7,34,68,184.4,Homme
13.3,11.1,18.3,13.2,113.8,96.7,82,82.2,92.7,32,27.1,35.6,20.7,16.2,31,70.9,175.5,Homme
12.6,10.7,18.5,12.9,117.3,97.4,79.6,80.8,95,32.6,27.4,36.5,21.6,16.6,40,72.5,180.6,Homme
14.4,12.3,20.2,13.6,124.2,106.7,75.2,77.8,94.5,36.7,29.9,38.1,22.6,17.3,21,72.5,177,Homme
14.2,11.6,20,14.4,123,106.2,88.6,88.3,100.5,36.9,29.4,38.4,23.1,17.3,33,83.4,177.1,Homme
13.8,11.1,17.8,13.2,117.8,103.6,81.5,83.3,91.8,33,27.8,35.4,21.9,16.4,25,75.5,181.6,Homme
14.1,11.1,19.1,14.7,118.8,98.3,79.9,82.4,87.5,33.5,27.3,36.8,22.3,16.6,29,73,176.5,Homme
14.8,11,19.8,13.8,112,87.8,73.5,77.5,94.9,34.3,28.5,36.5,22,17,27,70.2,175,Homme
13.9,10,18.7,13.8,113,99.8,80.3,80.8,93,33.3,28,36,20.3,16.5,44,73.4,174,Homme
12.9,11.6,18.8,13.5,116,104.6,81.5,85,92,33,28,35.1,21.1,16.3,26,70.5,165.1,Homme
13.1,10.3,19.1,13.2,112.8,86.5,74,76.5,91.3,30.5,26.1,36.6,21.2,16,22,68.9,177,Homme
14.6,12,20.9,15.1,125,110,104,99,111.7,37.5,29,41.2,24.6,18.6,37,102.3,192,Homme
13.9,10.1,20,13.4,108.3,93.2,76.2,83.8,92.8,31.2,26.2,36.8,22.7,16.2,38,68.4,176.5,Homme
13.3,10.4,18.5,12.8,108.2,90,76.5,77.7,91.2,33.1,27.2,35.5,21.5,16.2,20,65.9,169.4,Homme
13.2,10.4,19.1,13.1,113,98.4,81,80.5,96.2,32,27.4,37,24,16.5,21,75.7,182.1,Homme
14.3,11,21.1,14.9,115,107.2,88.8,86.8,100,34.6,27.9,38,23.2,17,24,84.5,179.8,Homme
13.4,11.2,20.6,14.4,123,108.3,94,98,108.2,35.6,27.3,39.5,25.3,17.7,45,87.7,175.3,Homme
14.2,12.3,19.2,15.2,120.2,105.7,83.4,86.5,101.1,34.7,29.4,39.4,24,17.8,25,86.4,184.9,Homme
14.3,11.1,20.2,15.2,114,88.5,77,79,93,33.5,27.9,38.4,22.5,17.5,22,73.2,177.3,Homme
13.2,10.5,18.7,13.4,102.9,79.3,75.4,78,88.6,25.6,22.7,33.8,21.2,14.6,29,53.9,167.4,Homme
13.8,10.7,19,13.9,112.5,90.9,80.3,80.8,92.8,32.5,28,36.5,21,16.4,37,72,178.1,Homme
13,10.6,16.9,12.6,104.5,90.2,68,67,81.5,27,23.6,34,20.9,16,20,55.5,168.9,Homme
13,10.2,17.9,13.5,111.3,91.6,80.6,78,91.3,30.7,25.3,35.5,20.8,16.4,20,58.4,157.2,Homme
14.4,11.5,20.5,16.8,117.2,105.2,88.6,94.7,94.7,36.9,28.8,40.3,26.3,18.1,32,83.2,180.3,Homme
14.6,11,19.5,15.3,112.8,97,81.1,88.2,93.9,33.7,28.6,35,23.1,16.7,23,72.7,170.2,Homme
13.8,11,18.9,14.8,104.8,85.3,70.8,84.9,89.4,28.7,25.5,38.5,21.3,15.6,25,64.1,177.8,Homme
14.4,11.8,19.5,14.9,117.7,99.6,73.3,82.1,89.3,36.3,32.5,34.3,22.3,18.4,27,72.3,172.7,Homme
14,10.8,19.1,15,107.7,94.3,75.9,79.1,92.6,33.2,27.9,34.8,23,16.3,21,65,165.1,Homme
15.2,11.3,19.8,15.2,125.2,111.8,86.2,93.5,96.3,36.3,28,38.3,23,16.1,27,86.4,186.7,Homme
12.9,10.8,18,14.3,109.1,94.3,75,82.2,88,36.3,28.9,34.5,23,17.1,25,65,165.1,Homme
13.8,11.8,19.4,15.4,122.6,106.1,101,99.7,105.5,38.6,30.3,39.5,25.6,18.3,38,88.6,174,Homme
15,11.4,20.2,15.4,117.3,102,90,92.3,102.3,34.6,29.7,38.2,23.7,18,44,84.1,175.3,Homme
13.4,11,19,14.5,109.1,94.8,75,79.6,91.6,30,26.5,31.7,16.4,16.1,27,66.8,185.4,Homme
14.3,11.7,19,15.6,116.7,102.9,75.9,77,93.4,35.2,28.7,37,24.5,17.3,37,75.5,177.8,Homme
15.6,12,21.6,16.4,124.9,115.8,96,95.9,103.6,38.2,30.1,41.2,25.1,17.7,28,93.2,180.3,Homme
15,11.6,20.4,15.2,118.6,105.4,84,90.4,94.8,38.7,30.2,38.6,22.8,18.2,33,82.7,180.3,Homme
12.6,9.8,18.8,13.6,108.8,87.1,67.1,80.4,85.9,30.3,25.4,32.7,20,15.3,25,58,177.8,Homme
15.6,12.2,19.7,15.6,121.9,104.1,82.5,90.1,98.4,37.9,31.6,37.8,24.6,18.1,21,79.5,177.8,Homme
14.6,11.7,20,15.2,117.3,95.8,83.7,84.2,98.4,33.7,28,38,25.8,17.6,30,78.6,177.8,Homme
14,11.3,19,14.4,115,98.6,76.7,85.8,93.3,35.7,27.6,34.7,20.6,16,26,71.8,177.8,Homme
16.1,12.6,23,16.3,134.8,118.7,105.2,105,115.5,39.4,32.1,42.2,27,19.2,27,116.4,177.8,Homme
13.8,10.8,18.2,13.3,113.8,100.9,90.6,93.3,97.7,34.8,28,34.1,22.2,16.3,33,72.2,163.8,Homme
15.2,11.8,19.6,14.8,119.4,98.5,85.7,92.9,98.6,35.3,28.7,39.3,23,17.4,29,83.6,188,Homme
15,12,20.5,17.2,117.9,96.9,82.5,90.8,94.9,32.8,28.7,39.2,27.5,17.9,27,85.5,198.1,Homme
15.2,11.3,21.2,15.2,127.3,110.7,94.7,92,101.3,37.2,30.9,40.5,24.2,17.6,34,90.9,175.3,Homme
13.6,12,19.2,13.8,118.8,108,105.2,103.4,108.1,38,30.2,36.9,21.6,18.3,42,85.9,166.4,Homme
15.3,11.5,20.9,16.5,122.4,109,86,90.2,98,40,31.2,38.3,25.8,19.5,29,89.1,190.5,Homme
13.6,11,19.1,15,111.5,104.2,90.9,92.7,100.2,30.1,26.8,38.1,23.2,16.3,41,75,166.4,Homme
14,11.2,21.2,16.4,113.2,100.5,92.4,92.4,97,32.9,29,37.7,23.4,17,43,77.7,177.8,Homme
14.4,11,19.7,15.8,115.3,105.7,96.5,98.2,97.4,31.9,28.5,37.7,24.5,17.1,43,86.4,179.7,Homme
14.6,11,20.5,15.3,122.5,112.4,98.4,101.5,107.9,39.2,30.5,42.6,25.3,17.5,29,90.9,172.7,Homme
14.1,10.7,19,15.1,114.4,96.2,76.7,83.5,93.9,32.1,27.7,36.1,23.2,17,27,73.6,190.5,Homme
15,11.8,21,15.6,112.8,97.5,94.8,98.2,98.6,31.1,27,37.7,24.6,18.4,62,76.4,185.4,Homme
13.1,11,18.4,14.8,112.2,90.9,80.1,79.8,91.3,32.9,27.2,36.2,23,16.8,33,69.1,168.9,Homme
14.2,11.6,20.4,15,119.4,108.4,97.4,103.7,105.3,36.6,28.4,38.2,22.9,18.1,45,84.5,167.6,Homme
13.2,10.4,18.6,14.8,108.4,94.3,73.7,74.5,88.2,29.6,26.2,35.2,21.2,16.2,30,64.5,175.3,Homme
15,10.8,19.3,14.5,122.4,109.1,76.1,90.1,93.3,37,30.6,36.8,23.6,18.5,20,69.1,170.2,Homme
14.6,11.7,21.4,15.1,128.8,115,95.6,101.9,107.9,37.1,30,41.8,24.7,18.2,22,108.6,190.5,Homme
14.3,11.7,19.8,15.4,118,104.4,101,98.9,103.3,38.1,29.8,39.7,25,19.6,51,86.4,177.8,Homme
14.3,11.5,19.6,15.6,116.5,100.1,84.5,84.5,94.4,33.9,28.6,38.5,25,17.7,34,80.9,190.5,Homme
14.4,12.4,18,15.1,120.4,108.4,98,101.8,101.5,38.2,29.9,37.7,24.9,17.6,44,87.7,177.8,Homme
15.4,11.6,20.4,15.4,123.1,107.3,101.6,103.8,110,34.9,28.9,40.3,23.7,18.1,46,94.5,184.2,Homme
13.6,10.8,18.9,15.2,117.2,101.8,87.8,90.2,98.4,33.1,28.4,38.2,24.5,17.1,34,80.2,176.5,Homme
15.2,11.8,20.7,15.4,113,94.5,80,85,95,31.5,26.5,36.9,22.9,17,32,72,177.8,Homme
12.9,10.4,18,14.3,109.4,91.7,81.8,82.9,98.3,31,25.7,35,22,15.5,28,71.4,180.3,Homme
14.6,11.5,19.6,15.3,105.7,95.9,84.4,86.8,99,30.5,26.4,36.1,21.3,16.4,31,72.7,171.4,Homme
15,11.8,20.4,15.8,119.7,110.5,85,83.5,95.7,39.2,29.9,37.9,23.8,17.1,29,84.1,172.7,Homme
14.3,12.4,19.6,14.3,118,104,90,86,96,33.5,29.1,36,23,18,42,76.8,172.7,Homme
13.6,10.4,17.6,14.2,104.3,86.8,72.9,73.4,89.5,29.8,24.8,32.6,22.1,16.3,29,63.6,177.8,Homme
14.8,11.7,19.4,14.6,114.1,106.7,81,80.2,93.7,35.5,30.6,36.9,22.7,16.8,31,80.9,177.8,Homme
15.6,12,19.5,14.8,119,102.5,86.5,89,97,34,28.4,38,22.5,17.4,30,80.9,182.9,Homme
14.6,11,21.5,15.8,113.8,103,93.9,98.6,103.6,34.4,28.5,40.9,24.6,17.1,27,85.5,170.2,Homme
14.3,11.2,18.7,14.3,118,95,77,78,93,32.6,28.4,34.4,20,16.5,25,68.6,167.6,Homme
15,11.3,19.1,14.6,116,99,75,75,90,32,27.3,33.8,22,17,24,67.7,175.3,Homme
13.2,10.2,18.9,14.3,108.3,89.7,80.6,80.8,90,28.9,25,34.6,23,16.4,33,66.4,165.1,Homme
15.4,11.6,17.8,14.6,129.2,111.5,100.5,107.3,109.5,37.4,31.6,41,25.4,18.4,45,102.3,185.4,Homme
14.6,11.2,19.5,15.8,109.2,94.1,81.2,84,91.6,33,27,35.2,23.1,16.3,37,70.5,181.6,Homme
14.9,10.8,18.9,14.1,124.3,118.3,103.4,106.2,108.5,35.4,29.7,42.3,24.8,17.1,44,95.9,172.7,Homme
15.2,10.8,18.6,15,122.6,106.5,90.3,101.1,101.6,35.4,28.6,40.4,24.9,17.9,34,84.1,190.5,Homme
16,13.2,19.5,16.1,122.4,110.4,98,98,99.6,36.4,29.2,40.9,26.1,19.5,55,87.3,179.1,Homme
14.8,10.6,18.7,15.2,114.9,102.3,86.5,87.7,91.9,35,28.9,38.3,24,17.3,43,71.8,175.3,Homme
14.8,11,18,15,111.1,98.5,77.9,87.3,90.8,35,28.4,35.5,21,16.6,24,65.9,170.2,Homme
15.8,11.3,20.5,14.8,126,111.6,89.1,95.1,104.8,37.9,31.2,41.1,27.7,18.1,22,95.9,193,Homme
